EmpID,Pay_Period,Work_Date,Hours_Worked,Hourly_Rate,Gross_Pay
1016,2025-01,2025-02-25,8.75,32,280.0
1016,2025-01,2025-02-26,9.45,32,302.4
1016,2025-01,2025-02-27,8.82,32,282.24
1016,2025-01,2025-02-28,9.43,32,301.76
1022,2025-01,2025-01-01,8.8,28,246.4
1022,2025-01,2025-01-02,7.83,28,219.24
1022,2025-01,2025-01-03,8.35,28,233.8
1022,2025-01,2025-01-05,8.65,28,242.2
1022,2025-01,2025-01-06,8.77,28,245.56
1022,2025-01,2025-01-07,9.27,28,259.56
1022,2025-01,2025-01-08,7.57,28,211.96
1022,2025-01,2025-01-09,9.6,28,268.8
1022,2025-01,2025-01-10,8.57,28,239.96
1022,2025-01,2025-01-12,9.95,28,278.6
1022,2025-01,2025-01-13,9.13,28,255.64
1022,2025-01,2025-01-14,8.67,28,242.76
1022,2025-01,2025-01-15,8.23,28,230.44
1022,2025-01,2025-01-16,8.65,28,242.2
1022,2025-01,2025-01-17,9.42,28,263.76
1022,2025-01,2025-01-20,8.17,28,228.76
1022,2025-01,2025-01-21,7.67,28,214.76
1022,2025-01,2025-01-22,9.6,28,268.8
1022,2025-01,2025-01-23,8.97,28,251.16
1022,2025-01,2025-01-24,9.35,28,261.8
1022,2025-01,2025-01-27,9.12,28,255.36
1022,2025-01,2025-01-28,9.65,28,270.2
1022,2025-01,2025-01-29,8.8,28,246.4
1022,2025-01,2025-01-30,9.72,28,272.16
1022,2025-01,2025-01-31,9.32,28,260.96
1022,2025-01,2025-02-03,8.97,28,251.16
1022,2025-01,2025-02-04,9.4,28,263.2
1022,2025-01,2025-02-05,9.9,28,277.2
1022,2025-01,2025-02-06,8.12,28,227.36
1022,2025-01,2025-02-07,8.42,28,235.76
1022,2025-01,2025-02-10,9.5,28,266.0
1022,2025-01,2025-02-11,9.03,28,252.84
1022,2025-01,2025-02-12,8.22,28,230.16
1022,2025-01,2025-02-13,7.73,28,216.44
1022,2025-01,2025-02-14,9.43,28,264.04
1022,2025-01,2025-02-17,8.47,28,237.16
1022,2025-01,2025-02-18,9.8,28,274.4
1022,2025-01,2025-02-19,9.4,28,263.2
1022,2025-01,2025-02-20,7.67,28,214.76
1022,2025-01,2025-02-21,9.18,28,257.04
1022,2025-01,2025-02-24,9.5,28,266.0
1022,2025-01,2025-02-25,9.18,28,257.04
1022,2025-01,2025-02-26,7.68,28,215.04
1022,2025-01,2025-02-27,9.52,28,266.56
1022,2025-01,2025-02-28,9.03,28,252.84
1038,2025-01,2025-01-01,8.58,32,274.56
1038,2025-01,2025-01-02,8.0,32,256.0
1038,2025-01,2025-01-03,7.83,32,250.56
1038,2025-01,2025-01-05,7.9,32,252.8
1038,2025-01,2025-01-06,8.93,32,285.76
1038,2025-01,2025-01-07,7.78,32,248.96
1038,2025-01,2025-01-08,9.03,32,288.96
1038,2025-01,2025-01-09,9.18,32,293.76
1038,2025-01,2025-01-10,9.97,32,319.04
1038,2025-01,2025-01-13,7.65,32,244.8
1038,2025-01,2025-01-14,9.45,32,302.4
1038,2025-01,2025-01-15,9.47,32,303.04
1038,2025-01,2025-01-16,7.7,32,246.4
1038,2025-01,2025-01-17,9.13,32,292.16
1038,2025-01,2025-01-20,9.47,32,303.04
1038,2025-01,2025-01-21,9.07,32,290.24
1038,2025-01,2025-01-22,8.97,32,287.04
1038,2025-01,2025-01-23,7.55,32,241.6
1038,2025-01,2025-01-24,7.55,32,241.6
1038,2025-01,2025-01-27,9.73,32,311.36
1038,2025-01,2025-01-28,9.98,32,319.36
1038,2025-01,2025-01-29,9.12,32,291.84
1038,2025-01,2025-01-30,8.23,32,263.36
1038,2025-01,2025-01-31,8.67,32,277.44
1038,2025-01,2025-02-03,9.87,32,315.84
1038,2025-01,2025-02-04,9.68,32,309.76
1038,2025-01,2025-02-05,9.15,32,292.8
1038,2025-01,2025-02-06,7.57,32,242.24
1038,2025-01,2025-02-07,7.93,32,253.76
1038,2025-01,2025-02-09,8.0,32,256.0
1038,2025-01,2025-02-10,9.25,32,296.0
1038,2025-01,2025-02-11,7.95,32,254.4
1038,2025-01,2025-02-12,7.78,32,248.96
1038,2025-01,2025-02-13,9.22,32,295.04
1038,2025-01,2025-02-14,8.8,32,281.6
1038,2025-01,2025-02-17,9.8,32,313.6
1038,2025-01,2025-02-18,7.85,32,251.2
1038,2025-01,2025-02-19,7.55,32,241.6
1038,2025-01,2025-02-20,9.37,32,299.84
1038,2025-01,2025-02-21,8.75,32,280.0
1038,2025-01,2025-02-24,9.22,32,295.04
1038,2025-01,2025-02-25,7.73,32,247.36
1038,2025-01,2025-02-26,9.28,32,296.96
1038,2025-01,2025-02-27,8.67,32,277.44
1038,2025-01,2025-02-28,8.77,32,280.64
1042,2025-01,2025-01-01,7.98,32,255.36
1042,2025-01,2025-01-02,9.98,32,319.36
1042,2025-01,2025-01-03,8.35,32,267.2
1042,2025-01,2025-01-04,8.7,32,278.4
1042,2025-01,2025-01-05,9.07,32,290.24
1042,2025-01,2025-01-06,8.05,32,257.6
1042,2025-01,2025-01-07,8.65,32,276.8
1042,2025-01,2025-01-08,9.17,32,293.44
1042,2025-01,2025-01-09,10.0,32,320.0
1042,2025-01,2025-01-10,8.33,32,266.56
1042,2025-01,2025-01-13,9.72,32,311.04
1042,2025-01,2025-01-14,9.63,32,308.16
1042,2025-01,2025-01-15,9.07,32,290.24
1042,2025-01,2025-01-16,8.43,32,269.76
1042,2025-01,2025-01-17,9.93,32,317.76
1042,2025-01,2025-01-18,9.43,32,301.76
1042,2025-01,2025-01-20,8.78,32,280.96
1042,2025-01,2025-01-22,7.68,32,245.76
1042,2025-01,2025-01-23,8.87,32,283.84
1042,2025-01,2025-01-24,9.48,32,303.36
1042,2025-01,2025-01-27,8.02,32,256.64
1042,2025-01,2025-01-28,7.87,32,251.84
1042,2025-01,2025-01-29,7.62,32,243.84
1042,2025-01,2025-01-30,9.8,32,313.6
1042,2025-01,2025-01-31,8.1,32,259.2
1042,2025-01,2025-02-02,9.13,32,292.16
1042,2025-01,2025-02-03,9.88,32,316.16
1042,2025-01,2025-02-04,8.13,32,260.16
1042,2025-01,2025-02-05,9.35,32,299.2
1042,2025-01,2025-02-06,9.95,32,318.4
1042,2025-01,2025-02-07,9.25,32,296.0
1042,2025-01,2025-02-10,8.15,32,260.8
1042,2025-01,2025-02-12,8.23,32,263.36
1042,2025-01,2025-02-13,8.7,32,278.4
1042,2025-01,2025-02-14,7.63,32,244.16
1042,2025-01,2025-02-17,8.8,32,281.6
1042,2025-01,2025-02-18,8.85,32,283.2
1042,2025-01,2025-02-19,9.55,32,305.6
1042,2025-01,2025-02-20,9.8,32,313.6
1042,2025-01,2025-02-21,7.72,32,247.04
1042,2025-01,2025-02-24,9.35,32,299.2
1042,2025-01,2025-02-25,8.98,32,287.36
1042,2025-01,2025-02-26,9.53,32,304.96
1042,2025-01,2025-02-27,8.67,32,277.44
1042,2025-01,2025-02-28,9.62,32,307.84
1050,2025-01,2025-01-01,8.98,32,287.36
1050,2025-01,2025-01-02,8.52,32,272.64
1050,2025-01,2025-01-03,7.72,32,247.04
1050,2025-01,2025-01-06,9.1,32,291.2
1050,2025-01,2025-01-07,7.6,32,243.2
1050,2025-01,2025-01-08,8.72,32,279.04
1050,2025-01,2025-01-09,9.83,32,314.56
1050,2025-01,2025-01-10,8.92,32,285.44
1050,2025-01,2025-01-13,8.67,32,277.44
1050,2025-01,2025-01-14,9.3,32,297.6
1050,2025-01,2025-01-15,8.85,32,283.2
1050,2025-01,2025-01-16,8.88,32,284.16
1050,2025-01,2025-01-17,8.7,32,278.4
1050,2025-01,2025-01-18,8.58,32,274.56
1050,2025-01,2025-01-19,9.38,32,300.16
1050,2025-01,2025-01-20,8.47,32,271.04
1050,2025-01,2025-01-21,8.53,32,272.96
1050,2025-01,2025-01-22,8.5,32,272.0
1050,2025-01,2025-01-23,8.35,32,267.2
1050,2025-01,2025-01-24,9.1,32,291.2
1050,2025-01,2025-01-25,9.0,32,288.0
1050,2025-01,2025-01-27,7.7,32,246.4
1050,2025-01,2025-01-28,9.92,32,317.44
1050,2025-01,2025-01-29,8.77,32,280.64
1050,2025-01,2025-01-30,9.18,32,293.76
1050,2025-01,2025-01-31,9.0,32,288.0
1050,2025-01,2025-02-01,9.73,32,311.36
1050,2025-01,2025-02-03,8.53,32,272.96
1050,2025-01,2025-02-04,9.65,32,308.8
1050,2025-01,2025-02-05,8.9,32,284.8
1050,2025-01,2025-02-06,8.73,32,279.36
1050,2025-01,2025-02-07,7.93,32,253.76
1050,2025-01,2025-02-10,8.17,32,261.44
1050,2025-01,2025-02-11,9.88,32,316.16
1050,2025-01,2025-02-12,9.88,32,316.16
1050,2025-01,2025-02-13,9.68,32,309.76
1050,2025-01,2025-02-14,8.58,32,274.56
1050,2025-01,2025-02-16,7.75,32,248.0
1050,2025-01,2025-02-17,9.45,32,302.4
1050,2025-01,2025-02-18,7.97,32,255.04
1050,2025-01,2025-02-19,9.1,32,291.2
1050,2025-01,2025-02-20,9.98,32,319.36
1050,2025-01,2025-02-21,8.7,32,278.4
1050,2025-01,2025-02-22,8.62,32,275.84
1050,2025-01,2025-02-24,8.5,32,272.0
1050,2025-01,2025-02-25,9.9,32,316.8
1050,2025-01,2025-02-26,9.6,32,307.2
1050,2025-01,2025-02-27,9.82,32,314.24
1050,2025-01,2025-02-28,8.72,32,279.04
1077,2025-01,2025-01-01,8.55,32,273.6
1077,2025-01,2025-01-02,8.02,32,256.64
1077,2025-01,2025-01-03,8.88,32,284.16
1077,2025-01,2025-01-06,9.97,32,319.04
1077,2025-01,2025-01-07,9.5,32,304.0
1077,2025-01,2025-01-08,8.33,32,266.56
1077,2025-01,2025-01-09,9.72,32,311.04
1077,2025-01,2025-01-10,9.65,32,308.8
1077,2025-01,2025-01-11,9.78,32,312.96
1077,2025-01,2025-01-13,9.48,32,303.36
1077,2025-01,2025-01-14,8.45,32,270.4
1077,2025-01,2025-01-15,9.32,32,298.24
1077,2025-01,2025-01-16,8.95,32,286.4
1077,2025-01,2025-01-17,9.08,32,290.56
1077,2025-01,2025-01-18,8.9,32,284.8
1077,2025-01,2025-01-20,9.28,32,296.96
1077,2025-01,2025-01-21,9.75,32,312.0
1077,2025-01,2025-01-22,9.92,32,317.44
1077,2025-01,2025-01-23,8.23,32,263.36
1077,2025-01,2025-01-24,7.55,32,241.6
1077,2025-01,2025-01-25,9.95,32,318.4
1077,2025-01,2025-01-27,7.52,32,240.64
1077,2025-01,2025-01-28,8.42,32,269.44
1077,2025-01,2025-01-29,9.7,32,310.4
1077,2025-01,2025-01-30,8.65,32,276.8
1077,2025-01,2025-01-31,9.95,32,318.4
1077,2025-01,2025-02-03,8.6,32,275.2
1077,2025-01,2025-02-04,9.88,32,316.16
1077,2025-01,2025-02-05,9.4,32,300.8
1077,2025-01,2025-02-06,9.9,32,316.8
1077,2025-01,2025-02-07,8.87,32,283.84
1077,2025-01,2025-02-08,7.68,32,245.76
1077,2025-01,2025-02-09,9.32,32,298.24
1077,2025-01,2025-02-10,9.83,32,314.56
1077,2025-01,2025-02-11,7.72,32,247.04
1077,2025-01,2025-02-12,7.82,32,250.24
1077,2025-01,2025-02-13,7.52,32,240.64
1077,2025-01,2025-02-14,8.22,32,263.04
1077,2025-01,2025-02-17,9.9,32,316.8
1077,2025-01,2025-02-18,8.95,32,286.4
1077,2025-01,2025-02-19,8.87,32,283.84
1077,2025-01,2025-02-20,7.52,32,240.64
1077,2025-01,2025-02-21,9.63,32,308.16
1077,2025-01,2025-02-24,9.13,32,292.16
1077,2025-01,2025-02-25,9.72,32,311.04
1077,2025-01,2025-02-26,8.07,32,258.24
1077,2025-01,2025-02-27,8.92,32,285.44
1077,2025-01,2025-02-28,8.55,32,273.6
1091,2025-01,2025-01-01,8.3,32,265.6
1091,2025-01,2025-01-02,8.75,32,280.0
1091,2025-01,2025-01-03,9.03,32,288.96
1091,2025-01,2025-01-05,8.83,32,282.56
1091,2025-01,2025-01-06,9.87,32,315.84
1091,2025-01,2025-01-07,8.17,32,261.44
1091,2025-01,2025-01-08,9.72,32,311.04
1091,2025-01,2025-01-09,9.48,32,303.36
1091,2025-01,2025-01-10,9.68,32,309.76
1091,2025-01,2025-01-13,8.4,32,268.8
1091,2025-01,2025-01-14,9.05,32,289.6
1091,2025-01,2025-01-15,9.45,32,302.4
1091,2025-01,2025-01-16,8.82,32,282.24
1091,2025-01,2025-01-17,7.62,32,243.84
1091,2025-01,2025-01-20,7.65,32,244.8
1091,2025-01,2025-01-21,8.63,32,276.16
1091,2025-01,2025-01-22,9.97,32,319.04
1091,2025-01,2025-01-23,9.52,32,304.64
1091,2025-01,2025-01-24,9.8,32,313.6
1091,2025-01,2025-01-25,7.78,32,248.96
1091,2025-01,2025-01-27,9.37,32,299.84
1091,2025-01,2025-01-28,8.62,32,275.84
1091,2025-01,2025-01-29,9.35,32,299.2
1091,2025-01,2025-01-30,7.92,32,253.44
1091,2025-01,2025-01-31,9.12,32,291.84
1091,2025-01,2025-02-02,9.02,32,288.64
1091,2025-01,2025-02-03,9.87,32,315.84
1091,2025-01,2025-02-04,9.63,32,308.16
1091,2025-01,2025-02-05,8.07,32,258.24
1091,2025-01,2025-02-06,7.55,32,241.6
1091,2025-01,2025-02-07,8.43,32,269.76
1091,2025-01,2025-02-08,7.83,32,250.56
1091,2025-01,2025-02-10,8.27,32,264.64
1091,2025-01,2025-02-11,8.88,32,284.16
1091,2025-01,2025-02-12,7.53,32,240.96
1091,2025-01,2025-02-13,9.73,32,311.36
1091,2025-01,2025-02-14,8.02,32,256.64
1091,2025-01,2025-02-17,8.98,32,287.36
1091,2025-01,2025-02-18,9.07,32,290.24
1091,2025-01,2025-02-19,8.93,32,285.76
1091,2025-01,2025-02-20,8.6,32,275.2
1091,2025-01,2025-02-21,7.63,32,244.16
1091,2025-01,2025-02-22,8.55,32,273.6
1091,2025-01,2025-02-24,8.27,32,264.64
1091,2025-01,2025-02-25,8.23,32,263.36
1091,2025-01,2025-02-26,9.63,32,308.16
1091,2025-01,2025-02-27,9.45,32,302.4
1091,2025-01,2025-02-28,8.17,32,261.44
1092,2025-01,2025-01-01,7.87,38,299.06
1092,2025-01,2025-01-02,8.8,38,334.4
1092,2025-01,2025-01-03,8.63,38,327.94
1092,2025-01,2025-01-06,9.05,38,343.9
1092,2025-01,2025-01-07,8.82,38,335.16
1092,2025-01,2025-01-08,8.97,38,340.86
1092,2025-01,2025-01-09,7.65,38,290.7
1092,2025-01,2025-01-10,8.63,38,327.94
1092,2025-01,2025-01-13,8.77,38,333.26
1092,2025-01,2025-01-14,9.93,38,377.34
1092,2025-01,2025-01-15,9.4,38,357.2
1092,2025-01,2025-01-16,9.07,38,344.66
1092,2025-01,2025-01-17,9.0,38,342.0
1092,2025-01,2025-01-20,9.1,38,345.8
1092,2025-01,2025-01-21,8.45,38,321.1
1092,2025-01,2025-01-22,8.2,38,311.6
1092,2025-01,2025-01-23,8.72,38,331.36
1092,2025-01,2025-01-24,7.68,38,291.84
1092,2025-01,2025-01-25,8.98,38,341.24
1092,2025-01,2025-01-27,8.22,38,312.36
1092,2025-01,2025-01-28,7.88,38,299.44
1092,2025-01,2025-01-29,8.7,38,330.6
1092,2025-01,2025-01-30,7.72,38,293.36
1092,2025-01,2025-01-31,7.65,38,290.7
1092,2025-01,2025-02-03,8.23,38,312.74
1092,2025-01,2025-02-04,8.9,38,338.2
1092,2025-01,2025-02-05,8.67,38,329.46
1092,2025-01,2025-02-06,9.4,38,357.2
1092,2025-01,2025-02-07,7.63,38,289.94
1092,2025-01,2025-02-10,8.07,38,306.66
1092,2025-01,2025-02-11,7.7,38,292.6
1092,2025-01,2025-02-12,9.92,38,376.96
1092,2025-01,2025-02-13,9.12,38,346.56
1092,2025-01,2025-02-14,8.58,38,326.04
1092,2025-01,2025-02-17,9.68,38,367.84
1092,2025-01,2025-02-18,7.93,38,301.34
1092,2025-01,2025-02-19,8.53,38,324.14
1092,2025-01,2025-02-20,9.3,38,353.4
1092,2025-01,2025-02-21,7.65,38,290.7
1092,2025-01,2025-02-23,8.62,38,327.56
1092,2025-01,2025-02-24,9.37,38,356.06
1092,2025-01,2025-02-25,9.08,38,345.04
1092,2025-01,2025-02-26,7.5,38,285.0
1092,2025-01,2025-02-27,9.57,38,363.66
1092,2025-01,2025-02-28,9.62,38,365.56
1092,2025-01,2025-03-01,9.98,38,379.24
1099,2025-01,2025-01-01,10.0,28,280.0
1099,2025-01,2025-01-02,9.22,28,258.16
1099,2025-01,2025-01-03,7.97,28,223.16
1099,2025-01,2025-01-06,9.65,28,270.2
1099,2025-01,2025-01-07,9.57,28,267.96
1099,2025-01,2025-01-08,8.1,28,226.8
1099,2025-01,2025-01-09,8.72,28,244.16
1099,2025-01,2025-01-10,8.98,28,251.44
1099,2025-01,2025-01-13,8.65,28,242.2
1099,2025-01,2025-01-14,8.98,28,251.44
1099,2025-01,2025-01-15,8.1,28,226.8
1099,2025-01,2025-01-16,8.93,28,250.04
1099,2025-01,2025-01-17,9.6,28,268.8
1099,2025-01,2025-01-19,9.65,28,270.2
1099,2025-01,2025-01-20,8.18,28,229.04
1099,2025-01,2025-01-21,9.63,28,269.64
1099,2025-01,2025-01-22,9.08,28,254.24
1099,2025-01,2025-01-23,8.38,28,234.64
1099,2025-01,2025-01-24,8.52,28,238.56
1099,2025-01,2025-01-25,8.07,28,225.96
1099,2025-01,2025-01-27,7.8,28,218.4
1099,2025-01,2025-01-28,7.87,28,220.36
1099,2025-01,2025-01-29,8.68,28,243.04
1099,2025-01,2025-01-30,9.65,28,270.2
1099,2025-01,2025-01-31,9.63,28,269.64
1099,2025-01,2025-02-03,7.73,28,216.44
1099,2025-01,2025-02-04,9.83,28,275.24
1099,2025-01,2025-02-05,9.8,28,274.4
1099,2025-01,2025-02-06,8.72,28,244.16
1099,2025-01,2025-02-07,9.95,28,278.6
1099,2025-01,2025-02-09,7.83,28,219.24
1099,2025-01,2025-02-10,9.9,28,277.2
1099,2025-01,2025-02-11,9.08,28,254.24
1099,2025-01,2025-02-12,9.08,28,254.24
1099,2025-01,2025-02-13,8.52,28,238.56
1099,2025-01,2025-02-14,9.37,28,262.36
1099,2025-01,2025-02-17,7.6,28,212.8
1099,2025-01,2025-02-18,9.35,28,261.8
1099,2025-01,2025-02-19,7.92,28,221.76
1099,2025-01,2025-02-20,9.88,28,276.64
1099,2025-01,2025-02-21,9.27,28,259.56
1099,2025-01,2025-02-24,8.65,28,242.2
1099,2025-01,2025-02-25,8.72,28,244.16
1099,2025-01,2025-02-26,8.53,28,238.84
1099,2025-01,2025-02-27,9.52,28,266.56
1099,2025-01,2025-02-28,7.8,28,218.4
1104,2025-01,2025-01-01,9.2,38,349.6
1104,2025-01,2025-01-02,8.13,38,308.94
1104,2025-01,2025-01-03,9.42,38,357.96
1104,2025-01,2025-01-06,9.08,38,345.04
1104,2025-01,2025-01-07,9.73,38,369.74
1104,2025-01,2025-01-08,8.23,38,312.74
1104,2025-01,2025-01-09,9.23,38,350.74
1104,2025-01,2025-01-10,9.52,38,361.76
1104,2025-01,2025-01-13,8.12,38,308.56
1104,2025-01,2025-01-14,9.02,38,342.76
1104,2025-01,2025-01-15,8.87,38,337.06
1104,2025-01,2025-01-16,9.68,38,367.84
1104,2025-01,2025-01-17,7.65,38,290.7
1104,2025-01,2025-01-19,8.95,38,340.1
1104,2025-01,2025-01-20,7.85,38,298.3
1104,2025-01,2025-01-21,8.35,38,317.3
1104,2025-01,2025-01-22,9.67,38,367.46
1104,2025-01,2025-01-23,8.45,38,321.1
1104,2025-01,2025-01-24,9.43,38,358.34
1104,2025-01,2025-01-27,9.72,38,369.36
1104,2025-01,2025-01-28,7.65,38,290.7
1104,2025-01,2025-01-29,9.08,38,345.04
1104,2025-01,2025-01-30,7.87,38,299.06
1104,2025-01,2025-01-31,8.38,38,318.44
1104,2025-01,2025-02-03,9.83,38,373.54
1104,2025-01,2025-02-04,8.93,38,339.34
1104,2025-01,2025-02-05,9.53,38,362.14
1104,2025-01,2025-02-06,8.03,38,305.14
1104,2025-01,2025-02-07,7.7,38,292.6
1104,2025-01,2025-02-08,8.58,38,326.04
1104,2025-01,2025-02-10,8.7,38,330.6
1104,2025-01,2025-02-11,9.18,38,348.84
1104,2025-01,2025-02-12,7.5,38,285.0
1104,2025-01,2025-02-13,9.38,38,356.44
1104,2025-01,2025-02-14,7.52,38,285.76
1104,2025-01,2025-02-16,7.63,38,289.94
1104,2025-01,2025-02-17,8.58,38,326.04
1104,2025-01,2025-02-18,7.75,38,294.5
1104,2025-01,2025-02-19,8.47,38,321.86
1104,2025-01,2025-02-20,7.6,38,288.8
1104,2025-01,2025-02-21,10.0,38,380.0
1104,2025-01,2025-02-24,9.18,38,348.84
1104,2025-01,2025-02-25,8.65,38,328.7
1104,2025-01,2025-02-26,9.37,38,356.06
1104,2025-01,2025-02-27,9.88,38,375.44
1104,2025-01,2025-02-28,9.68,38,367.84
1104,2025-01,2025-03-01,8.55,38,324.9
1198,2025-01,2025-01-01,9.27,32,296.64
1198,2025-01,2025-01-02,9.23,32,295.36
1198,2025-01,2025-01-03,7.68,32,245.76
1198,2025-01,2025-01-06,9.97,32,319.04
1198,2025-01,2025-01-07,9.55,32,305.6
1198,2025-01,2025-01-08,7.68,32,245.76
1198,2025-01,2025-01-09,8.13,32,260.16
1198,2025-01,2025-01-10,8.25,32,264.0
1198,2025-01,2025-01-11,9.72,32,311.04
1198,2025-01,2025-01-13,9.98,32,319.36
1198,2025-01,2025-01-14,8.53,32,272.96
1198,2025-01,2025-01-15,9.4,32,300.8
1198,2025-01,2025-01-16,8.33,32,266.56
1198,2025-01,2025-01-17,9.43,32,301.76
1198,2025-01,2025-01-20,9.73,32,311.36
1198,2025-01,2025-01-21,9.05,32,289.6
1198,2025-01,2025-01-22,9.28,32,296.96
1198,2025-01,2025-01-23,9.88,32,316.16
1198,2025-01,2025-01-24,9.37,32,299.84
1198,2025-01,2025-01-26,9.95,32,318.4
1198,2025-01,2025-01-27,9.7,32,310.4
1198,2025-01,2025-01-28,7.62,32,243.84
1198,2025-01,2025-01-29,8.98,32,287.36
1198,2025-01,2025-01-30,8.92,32,285.44
1198,2025-01,2025-01-31,8.38,32,268.16
1198,2025-01,2025-02-03,7.5,32,240.0
1198,2025-01,2025-02-04,8.67,32,277.44
1198,2025-01,2025-02-05,9.0,32,288.0
1198,2025-01,2025-02-06,9.75,32,312.0
1198,2025-01,2025-02-07,9.13,32,292.16
1198,2025-01,2025-02-08,7.78,32,248.96
1198,2025-01,2025-02-10,7.75,32,248.0
1198,2025-01,2025-02-11,9.2,32,294.4
1198,2025-01,2025-02-12,8.67,32,277.44
1198,2025-01,2025-02-13,8.1,32,259.2
1198,2025-01,2025-02-14,9.33,32,298.56
1198,2025-01,2025-02-17,9.8,32,313.6
1198,2025-01,2025-02-18,9.37,32,299.84
1198,2025-01,2025-02-19,7.68,32,245.76
1198,2025-01,2025-02-20,9.65,32,308.8
1198,2025-01,2025-02-21,9.58,32,306.56
1198,2025-01,2025-02-24,7.78,32,248.96
1198,2025-01,2025-02-25,8.05,32,257.6
1198,2025-01,2025-02-26,9.78,32,312.96
1198,2025-01,2025-02-27,9.83,32,314.56
1198,2025-01,2025-02-28,9.82,32,314.24
1213,2025-01,2025-01-01,7.72,28,216.16
1213,2025-01,2025-01-02,8.63,28,241.64
1213,2025-01,2025-01-03,8.8,28,246.4
1213,2025-01,2025-01-06,9.02,28,252.56
1213,2025-01,2025-01-07,9.43,28,264.04
1213,2025-01,2025-01-08,7.82,28,218.96
1213,2025-01,2025-01-09,7.77,28,217.56
1213,2025-01,2025-01-10,8.75,28,245.0
1213,2025-01,2025-01-13,8.45,28,236.6
1213,2025-01,2025-01-14,8.05,28,225.4
1213,2025-01,2025-01-15,9.18,28,257.04
1213,2025-01,2025-01-16,7.67,28,214.76
1213,2025-01,2025-01-17,8.32,28,232.96
1213,2025-01,2025-01-19,8.35,28,233.8
1213,2025-01,2025-01-20,9.57,28,267.96
1213,2025-01,2025-01-21,9.32,28,260.96
1213,2025-01,2025-01-22,9.13,28,255.64
1213,2025-01,2025-01-23,9.5,28,266.0
1213,2025-01,2025-01-24,9.55,28,267.4
1213,2025-01,2025-01-25,8.12,28,227.36
1213,2025-01,2025-01-27,9.73,28,272.44
1213,2025-01,2025-01-28,7.88,28,220.64
1213,2025-01,2025-01-29,9.1,28,254.8
1213,2025-01,2025-01-30,8.48,28,237.44
1213,2025-01,2025-01-31,9.93,28,278.04
1213,2025-01,2025-02-03,8.75,28,245.0
1213,2025-01,2025-02-04,9.08,28,254.24
1213,2025-01,2025-02-05,9.98,28,279.44
1213,2025-01,2025-02-06,8.85,28,247.8
1213,2025-01,2025-02-07,8.62,28,241.36
1213,2025-01,2025-02-10,9.88,28,276.64
1213,2025-01,2025-02-11,9.57,28,267.96
1213,2025-01,2025-02-12,8.47,28,237.16
1213,2025-01,2025-02-13,8.93,28,250.04
1213,2025-01,2025-02-14,8.07,28,225.96
1213,2025-01,2025-02-17,9.58,28,268.24
1213,2025-01,2025-02-18,9.0,28,252.0
1213,2025-01,2025-02-19,8.78,28,245.84
1213,2025-01,2025-02-20,8.57,28,239.96
1213,2025-01,2025-02-21,9.75,28,273.0
1213,2025-01,2025-02-24,9.17,28,256.76
1213,2025-01,2025-02-25,9.13,28,255.64
1213,2025-01,2025-02-26,8.85,28,247.8
1213,2025-01,2025-02-27,8.95,28,250.6
1213,2025-01,2025-02-28,8.22,28,230.16
